ID	SALBEG	GENDER	JOBTIME	AGE	SALNOW	EDLEVEL	WORKEXP	JOBCAT	MINORITY
628	8400	0	81	28	16080	16	.25	4	0
630	24000	0	73	40	41400	16	12.5	5	0
632	10200	0	83	31	21960	15	4.08	5	0
633	8700	0	93	31	19200	16	1.83	4	0
635	17400	0	83	41	28350	19	13	5	0
637	12996	0	80	29	27250	18	2.42	4	0
641	6900	0	79	28	16080	15	3.17	1	0
649	5400	0	67	28	14100	15	.5	1	0
650	5040	0	96	27	12420	15	1.17	1	0
652	6300	0	77	52	12300	12	26.42	3	0
653	6300	0	84	33	15720	15	6	1	0
656	6000	0	88	54	8880	12	27	1	0
657	10500	0	93	32	22000	17	2.67	4	0
658	10800	0	98	41	22800	15	12	5	0
659	13200	0	64	31	19020	19	2.25	5	0
660	5640	0	94	46	12300	12	20	3	0
669	13500	0	81	30	22200	19	5.17	4	0
671	6900	0	72	32	10380	15	6.92	1	0
683	6300	0	70	58	8520	15	31	1	0
685	11004	0	89	34	27500	17	3.17	4	0
690	7200	0	79	46	11460	15	21.75	1	0
696	10992	0	83	35	20500	16	5.75	5	0
697	16992	0	85	43	27700	20	11.17	7	0
702	8700	0	65	28	28000	16	1.58	4	0
704	13992	0	65	39	22000	19	10.75	5	0
706	12804	0	78	30	27250	19	2.92	4	0
707	13992	0	83	30	27000	17	.75	5	0
708	6600	0	70	44	9000	12	18	2	0
709	10992	0	91	30	31300	18	3.92	4	0
712	6300	0	70	26	11760	15	1.25	2	0
715	6000	0	84	29	15540	15	4.42	1	0
717	12996	0	75	41	22000	18	10.42	5	0
719	12996	0	68	28	24000	17	1.42	6	0
722	5880	0	70	27	10980	12	3.42	2	0
726	13200	0	78	32	29400	19	3.75	4	0
734	5400	0	97	31	10920	12	5.5	1	0
735	10992	0	96	39	24150	19	8	4	0
736	6600	0	94	36	13920	15	7.75	2	0
739	6300	0	78	63	12300	8	35.75	3	0
740	7800	0	83	38	11736	12	12.5	1	0
745	5700	0	96	30	13020	15	3.58	2	0
751	6600	0	95	33	14040	15	7.5	1	0
756	10200	0	78	35	16020	15	11.08	5	0
757	7500	0	98	35	16080	16	3	1	0
759	8400	0	93	30	21250	16	4	4	0
760	7800	0	78	28	16140	16	1.67	1	0
761	6000	0	84	63	12300	8	31.67	3	0
764	8160	0	84	29	15000	15	2.75	1	0
765	6000	0	87	31	11040	12	6.25	2	0
766	10992	0	90	34	21950	16	5.67	4	0
767	5700	0	65	25	11400	15	1.67	1	0
769	9492	0	94	34	24000	16	4.92	4	0
771	6000	0	72	28	11340	15	4	2	0
777	9492	0	78	38	15480	15	14.67	5	0
778	18000	0	66	34	34500	18	4.17	7	0
779	31992	0	96	49	54000	19	16.58	7	0
782	6300	0	82	29	12060	15	6	1	0
783	11100	0	82	44	13848	16	12.42	1	0
785	6300	0	68	28	12120	15	4.58	2	0
786	6300	0	82	29	32000	15	2.83	2	0
787	6000	0	81	30	10620	15	4.33	2	0
791	6300	0	69	63	12000	12	29	3	0
797	13200	0	68	29	24500	19	.75	5	0
801	0	0	0	0	15120	0	3	1	0
802	6000	0	97	29	16320	12	2	1	0
806	7800	0	68	31	14400	19	1.75	1	0
808	18996	0	86	42	26400	16	12.5	5	0
812	6300	0	67	28	12480	15	3.83	2	0
816	6000	0	71	26	11220	14	1.25	2	0
821	6600	0	79	30	11100	15	4.58	2	0
822	5820	0	93	29	8760	8	3.42	1	0
827	6000	0	66	29	12300	12	4.67	1	0
829	6300	0	66	27	13416	12	3.92	2	0
830	6600	0	83	31	15840	15	3.92	1	0
836	6000	0	83	29	11640	12	4.17	1	0
837	12000	0	93	31	31250	19	.58	4	0
838	12000	0	89	35	23750	20	.5	5	0
842	6840	0	92	31	10380	15	3.5	1	0
843	6300	0	92	32	12660	15	5.33	2	0
844	6600	0	64	31	13560	12	8.83	2	0
850	6600	0	83	33	13260	15	5.75	2	0
856	6600	0	67	29	11760	15	5.67	1	0
857	7200	0	65	41	11520	12	17.5	2	0
859	8700	0	84	30	23500	16	1.08	4	0
860	12300	0	78	29	26000	17	2.17	4	0
861	6300	0	80	61	12240	12	38.33	3	0
867	6000	0	85	58	12780	8	36.5	3	0
868	6000	0	94	31	14220	12	4	1	0
870	9000	0	91	33	24250	16	3.67	4	0
872	8796	0	76	32	19500	16	5.08	4	0
874	7800	0	86	30	21060	16	1.67	1	0
875	6000	0	94	30	18060	15	3.33	1	0
878	6300	0	89	31	12600	15	1.83	1	0
880	5700	0	95	29	9300	12	3.83	2	0
882	5640	0	92	34	9660	12	10.83	1	0
883	6600	0	77	27	12300	15	3.42	1	0
887	10500	0	94	39	29500	18	4.67	4	0
892	7800	0	81	33	20220	15	3.67	1	0
894	15000	0	88	56	26000	21	22	5	0
896	8496	0	93	29	18400	16	2.92	4	0
897	6300	0	65	63	9780	15	28.17	1	0
898	6300	0	69	59	11400	8	14.5	3	0
901	8100	0	66	30	13980	16	4.58	1	0
903	5700	0	96	32	12480	15	4.5	1	0
905	12792	0	69	28	26000	19	6.17	4	0
907	10992	0	80	45	20850	19	18.42	5	0
908	6000	0	82	30	10140	12	2.67	1	0
909	6600	0	66	30	16140	15	6.67	1	0
911	6300	0	91	30	15960	14	4.92	2	0
917	5400	0	94	63	10020	12	37	1	0
920	14496	0	78	39	20580	18	12.42	5	0
927	6000	0	87	39	10320	12	11.92	1	0
928	12996	0	77	48	20000	16	22	5	0
930	14004	0	91	34	38800	19	5.67	5	0
931	5700	0	96	29	14460	12	6.92	2	0
932	12792	0	79	29	26750	18	2.5	1	0
933	6300	0	74	63	12780	8	34	3	0
934	6600	0	90	32	15120	14	5	2	0
938	11496	0	92	31	29000	19	.83	4	0
939	6300	0	79	54	12000	12	25.67	3	0
946	7200	0	77	30	13800	15	5.25	1	0
950	21000	0	83	49	26700	16	21.5	7	0
951	12500	0	65	28	36250	19	1.5	5	0
958	6300	0	78	59	14100	12	32.25	3	0
959	6300	0	77	29	10500	15	3.17	1	0
960	8592	0	93	30	18100	16	3	4	0
961	6300	0	66	28	12108	12	6.67	2	0
962	5700	0	95	30	11700	8	4.17	1	0
965	8700	0	79	29	33500	16	1	4	0
966	5700	0	97	31	18400	15	4	1	0
968	6300	0	76	27	17364	15	1	2	0
973	18000	0	96	39	44250	19	10	7	0
974	6420	0	66	60	10500	8	22	1	0
975	6000	0	76	57	8820	12	32.08	1	0
977	9300	0	86	32	18250	16	5	4	0
979	6000	0	96	32	16800	15	5.67	2	0
982	7800	0	65	29	17460	16	1.58	4	0
983	6300	0	91	31	10980	15	4	2	0
984	6000	0	78	30	10380	14	4.42	1	0
985	5700	0	78	28	10020	15	2	1	0
990	6000	0	88	46	12360	12	21	1	0
993	14700	0	80	42	24750	19	16.58	5	0
996	13992	0	75	35	25000	18	6.17	5	0
997	8400	0	98	38	18000	15	11.5	1	0
998	15996	0	96	44	36800	19	14.58	5	0
999	5400	0	95	56	12300	12	25.58	3	0
1001	8496	0	74	29	18900	16	3.75	5	0
1003	10500	0	87	39	16920	16	10.5	4	0
1005	11004	0	97	37	41500	16	5.83	5	0
1007	6300	0	70	29	11940	15	4	2	0
1009	6600	0	79	30	13560	12	7.83	2	0
1014	5100	0	78	25	10680	12	2.08	1	0
1017	6900	0	75	34	10920	15	11	1	0
1019	6000	0	83	50	13500	12	23.67	3	0
1020	5700	0	97	31	16920	12	8.58	1	0
1021	6600	0	69	34	12060	14	9.17	1	0
1022	8400	0	79	28	22600	16	1	4	0
1025	6000	0	87	64	12300	8	37.58	3	0
1026	14016	0	67	36	28000	19	6.25	5	0
1027	10992	0	92	32	27500	19	.67	4	0
1029	6900	0	89	40	10920	12	14.58	1	0
1033	6000	0	94	33	10800	12	10	2	0
1035	6300	0	78	61	9600	8	39.67	1	0
1037	10000	0	93	33	22620	16	2.83	5	0
1040	5400	0	94	32	10740	15	.42	1	0
1041	8496	0	77	29	17950	16	1.83	1	0
1044	6300	0	70	28	10140	15	4.67	2	0
1045	6240	0	85	55	10500	8	14.25	1	0
1046	8100	0	93	31	16440	15	2.25	1	0
1047	5400	0	91	27	12660	15	1.5	1	0
1048	6300	0	67	32	13560	15	8	1	0
1065	17004	0	65	34	30000	19	4.5	6	0
1067	5700	0	65	25	12660	15	.83	2	0
1070	5400	0	98	35	12840	15	5.58	1	0
1071	6300	0	63	27	15660	15	3.83	2	0
1075	13992	0	93	46	33000	17	17.25	7	0
1082	11796	0	91	31	36500	19	1.92	4	0
1084	6000	0	78	29	10740	12	4	1	0
1088	6000	0	66	29	12960	15	5.33	1	0
1089	12000	0	96	32	32500	17	1.5	4	0
1093	6600	0	73	30	14280	12	6	1	0
1094	7500	0	98	37	14400	15	9.5	1	0
1097	11496	0	65	28	24750	19	2.17	5	0
1101	12600	0	81	31	30000	19	1.08	4	0
1103	6300	0	82	30	11940	12	7.08	2	0
1109	5640	0	90	32	13380	15	7.08	1	0
1111	6600	0	67	30	10860	15	6.5	2	0
1112	6300	0	89	34	10800	15	7.25	1	0
1114	6600	0	90	31	12120	15	1.33	1	0
1117	12996	0	69	34	26750	19	6.75	6	0
1120	6000	0	86	29	12360	15	2.08	1	0
1123	6900	0	83	34	10920	15	7.58	1	0
1124	6300	0	94	30	13560	15	6.5	2	0
1126	4620	0	80	24	8520	8	2	1	0
627	5100	1	95	53	8940	15	13.75	1	0
631	4800	1	98	64	8580	12	31.75	1	0
644	4500	1	80	24	7860	12	.42	2	0
645	4500	1	65	23	8700	12	0	2	0
646	5280	1	98	46	8760	8	15.83	1	0
648	4800	1	81	24	10980	8	.75	2	0
651	5400	1	69	25	9660	15	.58	2	0
662	4980	1	69	24	9780	12	1	2	0
663	6900	1	85	32	14280	16	1.58	2	0
